t5	x5	y5	vx5	vy5	v5
0,00E+00	-4,32E-02	2,16E-02	0	0	0
3,33E-02	-1,89E-01	9,73E-02	-3,81E+00	2,19E+00	4,39E+00
6,67E-02	-2,97E-01	1,68E-01	-3,89E+00	2,27E+00	4,51E+00
1,00E-01	-4,49E-01	2,49E-01	-4,70E+00	2,19E+00	5,19E+00
1,33E-01	-6,11E-01	3,14E-01	-5,11E+00	2,11E+00	5,53E+00
1,67E-01	-7,89E-01	3,89E-01	-5,51E+00	1,95E+00	5,85E+00
2,00E-01	-9,78E-01	4,43E-01	-5,27E+00	8,11E-01	5,33E+00
2,33E-01	-1,14E+00	4,43E-01	-5,51E+00	7,30E-01	5,56E+00
2,67E-01	-1,35E+00	4,92E-01	-5,59E+00	4,05E-01	5,61E+00
3,00E-01	-1,51E+00	4,70E-01	-5,35E+00	-9,73E-01	5,44E+00
3,33E-01	-1,70E+00	4,27E-01	-5,43E+00	-1,14E+00	5,55E+00
3,67E-01	-1,88E+00	3,95E-01	-5,27E+00	-1,46E+00	5,47E+00
4,00E-01	-2,05E+00	3,30E-01	-4,78E+00	-2,11E+00	5,23E+00
4,33E-01	-2,19E+00	2,54E-01	-4,70E+00	-2,27E+00	5,22E+00
4,67E-01	-2,37E+00	1,78E-01	-5,27E+00	-2,76E+00	5,95E+00
5,00E-01	-2,55E+00	7,03E-02	-5,03E+00	-3,81E+00	6,31E+00
5,33E-01	-2,70E+00	-7,57E-02	-5,43E+00	-4,30E+00	6,93E+00
5,67E-01	-2,91E+00	-2,16E-01	-6,00E+00	-4,78E+00	7,67E+00
6,00E-01	-3,10E+00	-3,95E-01	-6,00E+00	-5,92E+00	8,43E+00
6,33E-01	-3,31E+00	-6,11E-01	-5,51E+00	-6,24E+00	8,33E+00
6,67E-01	-3,47E+00	-8,11E-01	-4,62E+00	-6,41E+00	7,90E+00
7,00E-01	-3,62E+00	-1,04E+00	0	0	0
