t1	x1	y1	vx1	vy1	
0,00E+00	-2,31E-02	6,92E-02	0	0	0
3,33E-02	-1,92E-01	1,31E-01	-6,00E+00	2,88E+00	6,655403819
6,67E-02	-4,23E-01	2,62E-01	-6,69E+00	3,35E+00	7,481884789
1,00E-01	-6,38E-01	3,54E-01	-7,15E+00	2,88E+00	7,708235855
1,33E-01	-9,00E-01	4,54E-01	-6,69E+00	2,08E+00	7,005890379
1,67E-01	-1,08E+00	4,92E-01	-6,81E+00	1,38E+00	6,948417086
2,00E-01	-1,35E+00	5,46E-01	-6,81E+00	1,50E+00	6,973241714
2,33E-01	-1,54E+00	5,92E-01	-6,12E+00	8,08E-01	6,173108131
2,67E-01	-1,76E+00	6,00E-01	-6,58E+00	1,15E-01	6,581004862
3,00E-01	-1,98E+00	6,00E-01	-6,35E+00	-4,62E-01	6,366784432
3,33E-01	-2,18E+00	5,69E-01	-6,00E+00	-9,23E-01	6,070578967
3,67E-01	-2,38E+00	5,38E-01	-5,88E+00	-1,15E+00	5,991402173
4,00E-01	-2,58E+00	4,92E-01	-6,00E+00	-1,62E+00	6,214853176
4,33E-01	-2,78E+00	4,31E-01	-6,00E+00	-2,31E+00	6,429315671
4,67E-01	-2,98E+00	3,38E-01	-5,08E+00	-2,54E+00	5,679612663
5,00E-01	-3,12E+00	2,62E-01	-4,85E+00	-3,00E+00	5,702850165
5,33E-01	-3,30E+00	1,38E-01	-5,42E+00	-3,92E+00	6,689005905
5,67E-01	-3,48E+00	0,00E+00	-4,96E+00	-3,92E+00	6,322024992
6,00E-01	-3,63E+00	-1,23E-01	-4,85E+00	-3,92E+00	6,236096535
6,33E-01	-3,80E+00	-2,62E-01	-4,96E+00	-5,31E+00	7,266202585
6,67E-01	-3,96E+00	-4,77E-01	-4,27E+00	-5,42E+00	6,899949275
7,00E-01	-4,08E+00	-6,23E-01	-4,27E+00	-4,15E+00	5,954443719
7,33E-01	-4,25E+00	-7,54E-01	0	0	0
