t3	x3	y3	vx3	vy3	v3
0,00E+00	7,63E-03	3,05E-02	-7,10E+00	3,89E+00	8,10E+00
3,33E-02	-2,21E-01	1,68E-01	-6,87E+00	3,89E+00	7,90E+00
6,67E-02	-4,50E-01	2,90E-01	-6,64E+00	2,98E+00	7,28E+00
1,00E-01	-6,95E-01	4,27E-01	-6,64E+00	1,60E+00	6,83E+00
1,33E-01	-8,93E-01	4,89E-01	-6,53E+00	-4,58E-01	6,54E+00
1,67E-01	-1,11E+00	5,95E-01	-6,53E+00	1,26E+00	6,65E+00
2,00E-01	-1,32E+00	6,49E-01	-6,41E+00	-2,40E+00	6,85E+00
2,33E-01	-1,56E+00	7,02E-01	-6,41E+00	2,40E+00	6,85E+00
2,67E-01	-1,76E+00	7,33E-01	-6,30E+00	2,52E+00	6,78E+00
3,00E-01	-1,93E+00	7,33E-01	-6,07E+00	-1,15E-01	6,07E+00
3,33E-01	-2,16E+00	7,25E-01	-5,95E+00	-4,58E-01	5,97E+00
3,67E-01	-2,37E+00	7,02E-01	-5,61E+00	4,58E-01	5,63E+00
4,00E-01	-2,56E+00	6,95E-01	-5,50E+00	-3,55E+00	6,54E+00
4,33E-01	-2,69E+00	6,41E-01	-5,38E+00	-2,52E+00	5,94E+00
4,67E-01	-2,92E+00	5,65E-01	-5,38E+00	-1,95E+00	5,72E+00
5,00E-01	-3,12E+00	4,81E-01	-5,04E+00	-3,32E+00	6,03E+00
5,33E-01	-3,27E+00	3,97E-01	-5,04E+00	-5,27E+00	7,29E+00
5,67E-01	-3,46E+00	2,60E-01	-5,04E+00	-4,47E+00	6,73E+00
6,00E-01	-3,64E+00	1,60E-01	-4,92E+00	-3,55E+00	6,07E+00
6,33E-01	-3,79E+00	2,29E-02	-4,92E+00	-5,50E+00	7,38E+00
6,67E-01	-3,95E+00	-1,15E-01	-4,92E+00	-9,16E-01	5,01E+00
7,00E-01	-4,12E+00	-2,75E-01	-4,69E+00	-4,12E+00	6,25E+00
7,33E-01	-4,29E+00	-4,66E-01	-4,24E+00	-5,38E+00	6,85E+00
7,67E-01	-4,45E+00	-6,41E-01			
8,00E-01	-4,57E+00				
